UniProt,Gene Name,Confidence,Expected Sensitivity,Expected Specificity
Q16594,TAF9,0.705296544,0.402993265,0.396315891
Q9BYF1,ACE2,0.384941047,0.433228806,0.543918808
Q15172,PPP2R5A,0.638589765,0.290585325,0.567080033
P06396,GSN,0.317911858,0.105477992,0.76166281
P52799,EFNB2,0.030241891,0.149622581,0.435048007
P12830,CDH1,0.458361607,0.60209545,0.34382105
P01579,IFNG,0.395575934,0.847390158,0.630188015
Q12800,TFCP2,0.881419062,0.821286572,0.077813271
P28482,MAPK1,0.334235893,0.637331864,0.071580795
P19388,POLR2E,0.674076315,0.153749707,0.336400422
P06400,RB1,0.898917319,0.804482107,0.232958318
P62937,PPIA,0.905709586,0.729191436,0.627234244
P01730,CD4,0.688532384,0.054386818,0.506488761
P09661,SNRPA1,0.572145478,0.261053816,0.384935279
P18846,ATF1,0.21718346,0.562754239,0.45479386
P29084,GTF2E2,0.648052309,0.15415401,0.590482661
P29083,GTF2E1,0.016485723,0.062083899,0.036476287
O43521,BCL2L11,0.69067866,0.539350934,0.929602737
P11802,CDK4,0.433128445,0.412985743,0.936094154
P61289,PSME3,0.688037339,0.5805782,0.031496718
P50613,CDK7,0.986620139,0.964510272,0.111459133
P49336,CDK8,0.021011053,0.165240206,0.491332288
P50750,CDK9,0.367222173,0.535703588,0.417365605
P22674,CCNO,0.58305712,0.565500457,0.567967528
P68363,TUBA1B,0.681279727,0.966769026,0.534585262
Q13509,TUBB3,0.405523885,0.792343637,0.457405919
P04350,TUBB4A,0.948195954,0.108497425,0.890851538
P68371,TUBB4B,0.151570726,0.280823926,0.635101876
P63244,RACK1,0.211791292,0.124686793,0.551112487
Q15596,NCOA2,0.732951838,0.935514481,0.584887908
Q92993,KAT5,0.550759814,0.7474477,0.749823682
O15205,UBD,0.914395632,0.871517599,0.950387777
P50991,CCT4,0.985576925,0.196163994,0.838618612
Q07666,KHDRBS1,0.651867592,0.735516581,0.6326947
Q15185,PTGES3,0.209894524,0.579507008,0.499369594
P53999,SUB1,0.872448039,0.93058334,0.444040855
Q7L5N1,COPS6,0.975579551,0.507458887,0.657470698
O15504,NUPL2,0.639467804,0.340667623,0.958572291
Q9BUJ2,HNRNPUL1,0.96231679,0.030382725,0.327936103
O14757,CHEK1,0.503273139,0.601038302,0.019792092
Q16543,CDC37,0.20887612,0.366565268,0.117971038
P62805,HIST1H4A,0.305056227,0.282785691,0.369675162
Q71DI3,HIST2H3A,0.347354353,0.691510187,0.441768779
Q8N257,HIST3H2BB,0.431089141,0.859150166,0.225678245
Q92793,CREBBP,0.864994422,0.571725391,0.539545619
Q03060,CREM,0.793910584,0.751742005,0.133052177
P09874,PARP1,0.038934029,0.794993906,0.252348037
P19784,CSNK2A2,0.414403286,0.48523385,0.171762913
Q9UER7,DAXX,0.752012921,0.925803971,0.549774131
P17844,DDX5,0.176040006,0.947341001,0.034184502
Q08211,DHX9,0.608408164,0.755124025,0.367049802
P68104,EEF1A1,0.792649887,0.117626412,0.56371905
Q05639,EEF1A2,0.501298131,0.693560085,0.026954448
P29692,EEF1D,0.784728057,0.540431701,0.98691054
P05198,EIF2S1,0.925742415,0.236831722,0.870188873
P41091,EIF2S3,0.048830026,0.596676754,0.942160595
P06733,ENO1,0.460231236,0.139230898,0.070228871
Q09472,EP300,0.267145801,0.321659602,0.75441614
P18074,ERCC2,0.641233021,0.940814626,0.05808641
P19447,ERCC3,0.739073196,0.679672611,0.546357466
Q14289,PTK2B,0.749650222,0.246868885,0.957421714
Q96QV6,HIST1H2AA,0.733927136,0.552745461,0.071881006
P09038,FGF2,0.052219169,0.84663901,0.720328183
Q13049,TRIM32,0.223615273,0.26560825,0.837743885
Q9UPY3,DICER1,0.98778973,0.344620473,0.680568086
Q13148,TARDBP,0.831204753,0.136217203,0.742268833
O60885,BRD4,0.593769442,0.005991405,0.865942841
P02794,FTH1,0.5030209,0.332694185,0.168205778
P06241,FYN,0.770070062,0.533926328,0.822150205
P12956,XRCC6,0.282663786,0.065037267,0.936401249
Q96A08,HIST1H2BA,0.184651541,0.365571655,0.785606247
Q9UKC9,FBXL2,0.624816056,0.77122282,0.856293047
Q96ST3,SIN3A,0.055671967,0.399141977,0.557945957
Q92830,KAT2A,0.700557799,0.247742299,0.47948602
P11940,PABPC1,0.907890236,0.7677024,0.54408307
O00499,BIN1,0.872364366,0.969421698,0.933366394
P62879,GNB2,0.138932719,0.605242479,0.116276062
P62993,GRB2,0.025298298,0.649293817,0.257031398
P04150,NR3C1,0.492886677,0.380461682,0.855831959
Q9BY43,CHMP4A,0.884453503,0.578951685,0.600853661
P35269,GTF2F1,0.954807694,0.879484633,0.810452981
P13984,GTF2F2,0.044898839,0.772129184,0.716316301
P32780,GTF2H1,0.022184923,0.841711962,0.63891002
Q8WUA4,GTF3C2,0.978125119,0.382150144,0.931952015
P20671,HIST1H2AD,0.321512474,0.803828366,0.560260302
P16104,H2AFX,0.582479677,0.506744649,0.239378893
P0C0S5,H2AFZ,0.526287861,0.890684273,0.68399657
P58876,HIST1H2BD,0.583734373,0.557661322,0.21997267
P33778,HIST1H2BB,0.363697803,0.486879628,0.753158422
P84243,H3F3A,0.382896451,0.001002318,0.471370982
Q13547,HDAC1,0.331292426,0.447830916,0.59066841
P18465,HLA-B,0.829871344,0.409721004,0.274257474
Q8IUE6,HIST2H2AB,0.779006529,0.080633507,0.104485948
P09651,HNRNPA1,0.860371346,0.970301194,0.351998181
P52594,AGFG1,0.083054819,0.133106204,0.61475478
Q99873,PRMT1,0.286297468,0.444405864,0.240607667
P0DMV9,HSPA1B,0.542958071,0.996962195,0.815600447
P34932,HSPA4,0.103634774,0.172229674,0.346654054
P11021,HSPA5,0.962939243,0.08399863,0.236284964
P17066,HSPA6,0.099531281,0.284415575,0.934751963
P11142,HSPA8,0.692474436,0.360036585,0.244079934
P38646,HSPA9,0.835355067,0.262348229,0.798196232
P07900,HSP90AA1,0.176776162,0.068467759,0.206030316
P10809,HSPD1,0.330975405,0.911565086,0.84235926
P05067,APP,0.157570326,0.812300238,0.960741119
P01583,IL1A,0.717856014,0.172313511,0.712044697
P60228,EIF3E,0.299897931,0.194597575,0.490405908
P20701,ITGAL,0.894429912,0.193113958,0.475564447
P05556,ITGB1,0.223586381,0.134782763,0.177823284
P05107,ITGB2,0.497671557,0.227822477,0.316080272
P05412,JUN,0.592583754,0.549402661,0.243205297
Q15046,KARS,0.617080022,0.346929923,0.156970408
Q14807,KIF22,0.918977438,0.387899393,0.324946883
Q14974,KPNB1,0.265823344,0.10554165,0.859172684
P52292,KPNA2,0.700882422,0.437647787,0.269197134
O00410,IPO5,0.02164115,0.78944455,0.315346283
P06239,LCK,0.000454135,0.777338434,0.758339974
P20700,LMNB1,0.257081465,0.225339371,0.961504711
P07948,LYN,0.561253171,0.039615475,0.632759504
Q15796,SMAD2,0.560459663,0.803739179,0.350017774
P84022,SMAD3,0.080582984,0.72004049,0.524184866
P02686,MBP,0.84858053,0.279146538,0.043179667
Q00987,MDM2,0.708138064,0.198240924,0.000330501
Q9UBP6,METTL1,0.551312032,0.090918357,0.300326709
P51948,MNAT1,0.303304813,0.765434587,0.249660203
P26038,MSN,0.76556675,0.236129644,0.310398775
P01106,MYC,0.566076545,0.857638437,0.042649252
Q13469,NFATC2,0.364564218,0.96728733,0.388892981
P19838,NFKB1,0.418513557,0.079305639,0.832730702
Q00653,NFKB2,0.134555724,0.83113169,0.516625576
P25963,NFKBIA,0.385348833,0.895761768,0.758508313
P06748,NPM1,0.976306416,0.348495515,0.179127767
P67809,YBX1,0.499469818,0.584451273,0.238461816
P52948,NUP98,0.980337335,0.313027475,0.551933126
P00973,OAS1,0.384476753,0.131491252,0.513256747
Q15366,PCBP2,0.290638983,0.953837639,0.551360412
O95365,ZBTB7A,0.011155876,0.493594757,0.708162979
Q9NY65,TUBA8,0.617724634,0.274876255,0.124809275
P29590,PML,0.489377978,0.846682387,0.226621119
P06746,POLB,0.420784651,0.641640148,0.151920568
Q07864,POLE,0.829198992,0.023524619,0.327202178
P24928,POLR2A,0.51792165,0.228222562,0.649189206
P30876,POLR2B,0.329468918,0.840193372,0.815033689
P19387,POLR2C,0.218399835,0.431460514,0.914691277
O15514,POLR2D,0.917292129,0.941257729,0.969004311
P61218,POLR2F,0.376530115,0.33033242,0.479940831
P62487,POLR2G,0.569330064,0.644604135,0.763310714
P52434,POLR2H,0.556088565,0.796322441,0.557063608
P36954,POLR2I,0.000971798,0.64537194,0.160151869
P52435,POLR2J,0.165877822,0.086768056,0.474931334
P53803,POLR2K,0.391335281,0.25100289,0.965082209
P62875,POLR2L,0.070381262,0.029835905,0.987473247
Q9NWF9,RNF216,0.9570027,0.406959719,0.972387772
P23284,PPIB,0.215712098,0.111639382,0.467123414
P62136,PPP1CA,0.405437935,0.931204128,0.889505974
P36873,PPP1CC,0.072313759,0.767597527,0.82521476
P67775,PPP2CA,0.525970036,0.293065487,0.967034079
P63151,PPP2R2A,0.817617149,0.837759927,0.437660223
Q15257,PPP2R4,0.853648859,0.442206819,0.499449575
Q16537,PPP2R5E,0.251938584,0.652391579,0.428657369
Q08209,PPP3CA,0.529968498,0.253320765,0.683148969
Q9P0M6,H2AFY2,0.688914133,0.06492333,0.485557508
P17612,PRKACA,0.363641913,0.672973296,0.986108886
P54619,PRKAG1,0.43547587,0.375364271,0.234710273
P78527,PRKDC,0.357046418,0.976707295,0.888166609
P27361,MAPK3,0.43509177,0.36827217,0.762629383
P25786,PSMA1,0.116575002,0.61369873,0.878027086
P25788,PSMA3,0.035255898,0.964723564,0.565917147
P25789,PSMA4,0.399516407,0.640354165,0.501620043
P60900,PSMA6,0.896012349,0.345713747,0.849712866
O14818,PSMA7,0.811105918,0.026948512,0.203544007
P20618,PSMB1,0.891853336,0.985333573,0.259515441
P49721,PSMB2,0.178947798,0.673642737,0.712438702
P49720,PSMB3,0.384168367,0.696426277,0.216711243
P28070,PSMB4,0.07810001,0.461634917,0.252971897
P28074,PSMB5,0.727161208,0.443322658,0.351944827
P28072,PSMB6,0.164655462,0.345094886,0.553595374
Q99436,PSMB7,0.111811819,0.409656937,0.610830078
P28062,PSMB8,0.136462919,0.252118513,0.898620002
P28065,PSMB9,0.264793522,0.769333475,0.972789141
P40306,PSMB10,0.561164151,0.335268497,0.501126828
P62191,PSMC1,0.60186731,0.379356412,0.718196664
P35998,PSMC2,0.39083614,0.822203881,0.051474973
P43686,PSMC4,0.410414229,0.053297907,0.597951749
P62195,PSMC5,0.021385703,0.48812701,0.861674529
P62333,PSMC6,0.2034885,0.128641494,0.325064726
Q13200,PSMD2,0.684521086,0.450639406,0.070142587
O43242,PSMD3,0.849714518,0.744514468,0.735903859
P55036,PSMD4,0.509798649,0.531948782,0.976353595
Q16401,PSMD5,0.391686831,0.58436308,0.799523357
P51665,PSMD7,0.2007382,0.358257871,0.551108221
O00231,PSMD11,0.852061552,0.800079762,0.495426572
O00232,PSMD12,0.509506023,0.476214174,0.930263698
Q92934,BAD,0.884756633,0.218631324,0.237160486
P26599,PTBP1,0.044238676,0.127103471,0.289204167
Q96L91,EP400,0.564810598,0.95040798,0.078661437
P54725,RAD23A,0.071462769,0.957876546,0.195068523
P62736,ACTA2,0.934243734,0.760868183,0.729187315
P62826,RAN,0.363315897,0.838476459,0.97361495
P43487,RANBP1,0.028839077,0.03172434,0.499138583
Q08999,RBL2,0.391421598,0.665153991,0.296335362
P10415,BCL2,0.549436993,0.741411612,0.806081642
Q04206,RELA,0.328386034,0.154959045,0.393298094
P35251,RFC1,0.960741311,0.661191123,0.001716699
P35250,RFC2,0.758051336,0.035525101,0.676860512
P40938,RFC3,0.436259179,0.006836532,0.800866015
P61221,ABCE1,0.549583952,0.196905181,0.866246101
P27694,RPA1,0.275810159,0.603187567,0.159843816
P39023,RPL3,0.334569083,0.772491875,0.295601629
P21673,SAT1,0.88112129,0.168144226,0.612359665
Q07955,SRSF1,0.310959113,0.760312741,0.877220201
O43765,SGTA,0.867497973,0.266525793,0.564449417
Q9C0K0,BCL11B,0.573207008,0.638556787,0.89457142
P51532,SMARCA4,0.031264539,0.75885525,0.688984429
Q92922,SMARCC1,0.646390139,0.616984267,0.939367178
Q969G3,SMARCE1,0.681625145,0.525005921,0.517291751
P08579,SNRPB2,0.850816111,0.063667784,0.704778103
P62316,SNRPD2,0.768741475,0.867303493,0.341539017
P12931,SRC,0.266078438,0.097720643,0.446642103
P05455,SSB,0.385702468,0.680663623,0.698666022
P63272,SUPT4H1,0.307719929,0.363542546,0.023617234
O00267,SUPT5H,0.96228052,0.49227752,0.66831006
Q15369,TCEB1,0.150040118,0.920601694,0.88989498
Q15370,TCEB2,0.817766651,0.337938906,0.756699957
P10827,THRA,0.128289867,0.399064106,0.908299396
Q07021,C1QBP,0.397919988,0.455914038,0.10369768
P63261,ACTG1,0.490919621,0.842129188,0.668963138
P19438,TNFRSF1A,0.046259546,0.214827022,0.738086112
Q99816,TSG101,0.141663853,0.945644529,0.287240881
P68366,TUBA4A,0.272292031,0.945349291,0.664805273
Q13748,TUBA3C,0.682308636,0.509947433,0.482413975
Q13885,TUBB2A,0.601328432,0.759998653,0.786303424
P0CG47,UBB,0.077385616,0.893797718,0.782410467
P0CG48,UBC,0.782851402,0.663804947,0.55404695
P22314,UBA1,0.556351471,0.919581592,0.226868751
P51668,UBE2D1,0.164426403,0.546612591,0.518359916
P63165,SUMO1,0.912307839,0.372655448,0.347917881
P13051,UNG,0.368934292,0.574047284,0.630118438
P21796,VDAC1,0.759015303,0.036316516,0.998650042
P08670,VIM,0.90920416,0.520838025,0.249768121
P13010,XRCC5,0.819959414,0.702542614,0.599952685
P31946,YWHAB,0.433592856,0.075230582,0.005794071
P62258,YWHAE,0.304016794,0.066237518,0.962266027
P61981,YWHAG,0.646642953,0.526895015,0.162830521
Q04917,YWHAH,0.003418103,0.544664293,0.135591691
P63104,YWHAZ,0.259255194,0.339405966,0.661887589
Q71U36,TUBA1A,0.751651107,0.33382425,0.290611457
P61073,CXCR4,0.89113504,0.057056503,0.536950646
P35658,NUP214,0.762283573,0.090401098,0.194783015
Q93034,CUL5,0.686893674,0.71757955,0.45007859
P27797,CALR,0.178311587,0.792145297,0.890667695
Q92804,TAF15,0.297974043,0.252221151,0.778670967
P27824,CANX,0.296265281,0.493476671,0.608169478
Q16695,HIST3H3,0.450731054,0.634043313,0.349045637
Q99878,HIST1H2AJ,0.871831031,0.577161453,0.765120103
Q93077,HIST1H2AC,0.859691654,0.248991191,0.707832391
P04908,HIST1H2AB,0.579243336,0.503001034,0.098158551
Q6FI13,HIST2H2AA3,0.135489815,0.352697245,0.825360892
Q16777,HIST2H2AC,0.423865404,0.884612766,0.311488289
Q99880,HIST1H2BL,0.990888623,0.132047384,0.881617076
Q99877,HIST1H2BN,0.705956307,0.914401473,0.060770976
Q99879,HIST1H2BM,0.771117869,0.976402547,0.476789508
Q93079,HIST1H2BH,0.689150424,0.376818901,0.152748487
P23527,HIST1H2BO,0.672354446,0.998312895,0.051405087
Q16778,HIST2H2BE,0.882045347,0.022491712,0.694081659
P68431,HIST1H3A,0.581463907,0.182265503,0.838364236
Q99525,HIST1H4G,0.48492068,0.527580774,0.750726107
Q14790,CASP8,0.217204981,0.73223697,0.435623495
Q9BQE3,TUBA1C,0.319501269,0.901996409,0.323275764
Q9Y6K9,IKBKG,0.847723419,0.115023426,0.663910503
Q96KK5,HIST1H2AH,0.8859062,0.943095042,0.921761524
O60814,HIST1H2BK,0.037486387,0.5340058,0.933189036
P63167,DYNLL1,0.370834797,0.547207475,0.127853779
Q13546,RIPK1,0.532811709,0.732751319,0.373127295
Q92831,KAT2B,0.527009572,0.807889408,0.665025753
P20042,EIF2S2,0.910948655,0.232688356,0.764901623
P14635,CCNB1,0.964738583,0.748451537,0.329004559
P24863,CCNC,0.20111865,0.431673015,0.991603081
Q9UBB5,MBD2,0.391765266,0.410964763,0.513509407
Q9Y297,BTRC,0.449600699,0.83879409,0.949708932
P06899,HIST1H2BJ,0.009097535,0.89254162,0.798778524
P51946,CCNH,0.603148366,0.789815956,0.088314003
O60563,CCNT1,0.190520027,0.416587085,0.837301121
O14981,BTAF1,0.443408435,0.216481997,0.648722821
O75928,PIAS2,0.426055409,0.341645061,0.087367217
O95067,CCNB2,0.811946597,0.043958613,0.258758168
P20963,CD247,0.375480816,0.666183114,0.029602075
Q9P0L0,VAPA,0.883657538,0.500960789,0.25365949
Q7L7L0,HIST3H2A,0.534082378,0.35097826,0.180777145
Q9Y5Q8,GTF3C5,0.587536122,0.947103754,0.854690291
Q9UKN8,GTF3C4,0.057922647,0.358872324,0.914195322
Q71UI9,H2AFV,0.798347052,0.929736836,0.476273136
O75367,H2AFY,0.765855005,0.596925025,0.225912006
Q9Y4B6,VPRBP,0.177367078,0.392962218,0.546390515
Q15020,SART3,0.108287846,0.63575551,0.212768822
P60033,CD81,0.634504148,0.606865182,0.596859846
P06493,CDK1,0.166535622,0.3848064,0.412537245
P49790,NUP153,0.904196629,0.611483002,0.485731594
Q9H2X3,CLEC4M,0.68994194,0.663721779,0.337724181
Q12873,CHD3,0.534391208,0.913763085,0.988369357
Q13363,CTBP1,0.726932385,0.310620081,0.947570238
P08493,MGP,0.755906517,0.683746229,0.216692512
Q13625,TP53BP2,0.908516308,0.488817746,0.869388548
P08174,CD55,0.340421586,0.134538216,0.971080401
Q14689,DIP2A,0.405419079,0.842532485,0.844363048
A0A024R3A1,CEP57,0.310642868,0.575274103,0.224886567
P15529,CD46,0.029822459,0.911813336,0.72313834
P01848,TRAC,0.166453116,0.433394466,0.610976506
P01903,HLA-DRA,0.122521903,0.163550829,0.734592451
O19626,B-3501,0.110529275,0.971491899,0.891113493
Q09666,AHNAK,0.127354197,0.980059609,0.709618182
P38936,CDKN1A,0.7565661,0.765546481,0.158089728
P25391,LAMA1,0.784317393,0.742805625,0.985447732
Q06609,RAD51,0.53541167,0.181780707,0.024600458
Q86X95,CIR1,0.487221383,0.226038318,0.2766063
Q9BVL2,NUP58,0.111719191,0.800920485,0.653125046
P01892,HLA-A,0.993524095,0.997300345,0.795911015
P61769,B2M,0.653595249,0.159707837,0.940629748
P98155,VLDLR,0.157749732,0.748994831,0.454241153
P01023,A2M,0.942463035,0.986209277,0.20254305
P02647,APOA1,0.170326141,0.18363627,0.546016975
P02649,APOE,0.523508017,0.619458656,0.95652263
P02749,APOH,0.077212362,0.593077561,0.76858796
P25445,FAS,0.668432522,0.80161496,0.515754635
P05155,SERPING1,0.469522491,0.017443393,0.205757109
P09693,CD3G,0.535082427,0.570986075,0.626300425
P02452,COL1A1,0.58086501,0.54118566,0.665198031
P08123,COL1A2,0.547543978,0.671402791,0.307897019
P02461,COL3A1,0.47269083,0.510345615,0.246345494
P48637,GSS,0.350212311,0.818917059,0.540747521
P05362,ICAM1,0.73691099,0.234606156,0.191948705
P23229,ITGA6,0.476051239,0.818218635,0.0137546
P05106,ITGB3,0.884883888,0.281553201,0.910427243
P16144,ITGB4,0.882505064,0.599083556,0.960244939
Q16787,LAMA3,0.112310217,0.894632084,0.237389614
Q13751,LAMB3,0.920032073,0.759852831,0.30058791
P33076,CIITA,0.081227346,0.909293801,0.188276097
P14598,NCF1,0.598393486,0.148217625,0.474243706
P00747,PLG,0.021995942,0.409800548,0.449550958
P04156,PRNP,0.765291543,0.722946309,0.422051291
P60484,PTEN,0.883473609,0.208763896,0.949841107
P07101,TH,0.911833617,0.236526435,0.238179237
P11161,EGR2,0.207331767,0.381058138,0.804261312
P11413,G6PD,0.473776187,0.997583038,0.668845516
P01589,IL2RA,0.285832085,0.946714036,0.478081355
P24394,IL4R,0.124761666,0.224378105,0.084243635
P24043,LAMA2,0.069946677,0.798579075,0.329511497
Q15149,PLEC,0.47094482,0.86456157,0.22674231
P16581,SELE,0.898547357,0.426478066,0.190217081
P02768,ALB,0.333435312,0.941622731,0.653034567
P01241,GH1,0.907042639,0.95705694,0.943713401
P55895,RAG2,0.532856238,0.733166144,0.044696942
P08637,FCGR3A,0.278803452,0.289906643,0.913050592
O75015,FCGR3B,0.674888731,0.262688589,0.463009381
P22301,IL10,0.301857736,0.632741925,0.583282694
P01584,IL1B,0.729214222,0.82913813,0.668174661
P51681,CCR5,0.516118623,0.156313897,0.639253537
P07203,GPX1,0.182614128,0.388827816,0.003400396
A0A024RDA5,IL8,0.266015943,0.937601355,0.03980821
P60568,IL2,0.564059569,0.051064796,0.66908425
P08700,IL3,0.30461436,0.198888857,0.549835813
P05112,IL4,0.684226375,0.694080495,0.664333897
Q03518,TAP1,0.59093792,0.586938267,0.151264267
P01374,LTA,0.908293408,0.195042499,0.489189965
P05231,IL6,0.207155728,0.466332086,0.174642821
P05121,SERPINE1,0.750803262,0.94783111,0.60496282
P29474,NOS3,0.685636761,0.926206368,0.302258503
P48061,CXCL12,0.752020161,0.828630654,0.942952518
P05019,IGF1,0.45091638,0.622730827,0.810526668
P35228,NOS2,0.193135931,0.365143358,0.280883357
P04179,SOD2,0.771464039,0.605290538,0.969968187
P04004,VTN,0.896250946,0.099602454,0.939891769
P48023,FASLG,0.871705781,0.413694974,0.853908114
P01137,TGFB1,0.639593604,0.043831333,0.828642241
P04234,CD3D,0.150295495,0.661952097,0.649676237
P07766,CD3E,0.168800557,0.320657391,0.301872146
P04141,CSF2,0.426644017,0.35015922,0.446277428
P05230,FGF1,0.738487867,0.022342846,0.924784905
Q05586,GRIN1,0.32762832,0.347408465,0.001253482
Q12879,GRIN2A,0.121363435,0.683933336,0.78665695
Q13224,GRIN2B,0.460090104,0.223054807,0.514249611
Q14957,GRIN2C,0.290197856,0.534283168,0.471099558
O15399,GRIN2D,0.545297867,0.376634199,0.119845821
P14778,IL1R1,0.557254673,0.626445588,0.913216607
P14784,IL2RB,0.894077997,0.552324284,0.903182733
P29459,IL12A,0.703535891,0.509823469,0.982738284
P08473,MME,0.110880577,0.654623597,0.039368216
Q14432,PDE3A,0.623685234,0.75487177,0.360372598
Q13370,PDE3B,0.976173871,0.832427703,0.16350001
Q08493,PDE4C,0.500045506,0.805358292,0.994141971
Q01064,PDE1B,0.503997215,0.73728297,0.914652627
P08183,ABCB1,0.358429088,0.894900326,0.135456302
Q01970,PLCB3,0.981352723,0.285713552,0.506950019
Q15147,PLCB4,0.961483733,0.63203467,0.445952065
P08697,SERPINF2,0.839339061,0.789325487,0.008457882
P63098,PPP3R1,0.785229235,0.736097384,0.037881911
P46777,RPL5,0.367377826,0.629487926,0.354245258
P20333,TNFRSF1B,0.95563043,0.701462391,0.794929069
P19320,VCAM1,0.574674161,0.218476597,0.590507973
P51828,ADCY7,0.719977064,0.710769482,0.756545744
P40145,ADCY8,0.844661979,0.423946381,0.734474042
O60503,ADCY9,0.042615514,0.69196348,0.783223191
P12235,SLC25A4,0.277839274,0.258610898,0.294638631
Q13489,BIRC3,0.731912895,0.900073492,0.027703203
O15392,BIRC5,0.820104226,0.770803171,0.637780663
Q13535,ATR,0.663079203,0.676234487,0.310197571
Q13886,KLF9,0.533722197,0.530190388,0.299165035
Q13554,CAMK2B,0.820169163,0.083286851,0.143972463
P55211,CASP9,0.950668483,0.386741678,0.112584698
P24864,CCNE1,0.945641243,0.947190456,0.185787821
O60583,CCNT2,0.208293411,0.414848711,0.889345816
P25942,CD40,0.312232739,0.485697585,0.591348291
Q00534,CDK6,0.197552917,0.097540258,0.004822538
P32246,CCR1,0.50188441,0.932270202,0.223571398
P78310,CXADR,0.45236415,0.290649479,0.556891942
P49682,CXCR3,0.9533224,0.186881858,0.694940264
O75715,GPX5,0.010167715,0.03348268,0.849920847
Q13888,GTF2H2,0.206608471,0.21962264,0.952503809
Q13889,GTF2H3,0.65667855,0.125122666,0.850788921
Q92759,GTF2H4,0.956447974,0.825870905,0.646428601
Q12789,GTF3C1,0.802719251,0.394103824,0.456272481
O14879,IFIT3,0.922182193,0.757951736,0.394427381
P22692,IGFBP4,0.420157105,0.14037335,0.458650615
P02778,CXCL10,0.120536242,0.548430794,0.938182738
P31751,AKT2,0.416509569,0.994578008,0.067723153
P84095,RHOG,0.932903494,0.14708196,0.560338725
P18848,ATF4,0.342876972,0.770620652,0.216315167
P41182,BCL6,0.284707761,0.572231878,0.139462278
P05423,POLR3D,0.798808955,0.165405025,0.139395631
Q07108,CD69,0.309947777,0.836824692,0.016271395
P30307,CDC25C,0.600852054,0.121391167,0.404658597
P51677,CCR3,0.923586337,0.022752624,0.58491409
P35222,CTNNB1,0.481726883,0.220377333,0.268448767
P08574,CYC1,0.7823891,0.914691954,0.150899962
P27487,DPP4,0.959500558,0.582938808,0.665304018
Q01658,DR1,0.60988418,0.562988652,0.090579157
Q16254,E2F4,0.023838497,0.47678068,0.301901402
P01133,EGF,0.418696166,0.139126845,0.312228654
P18146,EGR1,0.127027351,0.190052566,0.211241845
P63241,EIF5A,0.994936834,0.097126283,0.381509693
P17948,FLT1,0.526203304,0.026609485,0.979244385
P18283,GPX2,0.343520969,0.864601323,0.453488895
P22352,GPX3,0.412148201,0.092839011,0.754719485
