,UniProt ID,Gene Name ,Confidence ,Expected Sensitivity,Expected Specificity,Confidence
160,P84243,H3F3B,0.811580458,0.644566225,0.564473922,0.236842105263
161,Q13547,HDAC1,0.532825589,0.263581179,0.540981283,0.236842105263
162,P18465,HLA-B,0.350727104,0.174778664,0.068921448,0.236842105263
163,Q8IUE6,HIST2H2AB,0.939001562,0.368619501,0.988430867,0.236842105263
164,P09651,HNRNPA1,0.875942811,0.537542223,0.25109544,0.236842105263
165,P52594,AGFG1,0.550156343,0.926407157,0.315472992,0.236842105263
166,Q99873,PRMT1,0.622475086,0.749120729,0.300656949,0.236842105263
167,P0DMV9,HSPA1B,0.587044705,0.147735487,0.042039038,0.236842105263
168,P34932,HSPA4,0.207742293,0.002887745,0.527901301,0.236842105263
169,P11021,HSPA5,0.30124633,0.127013894,0.256022334,0.236842105263
170,P17066,HSPA6,0.470923349,0.916921352,0.408709992,0.236842105263
171,P11142,HSPA8,0.23048816,0.672121707,0.947512643,0.236842105263
172,P38646,HSPA9,0.844308793,0.113789807,0.91928097,0.236842105263
173,P07900,HSP90AA1,0.19476429,0.960227493,0.121243677,0.236842105263
174,P10809,HSPD1,0.225921781,0.119383121,0.591944835,0.236842105263
175,P05067,APP,0.170708047,0.492415695,0.359652173,0.236842105263
176,P01583,IL1A,0.227664298,0.361313402,0.719306932,0.236842105263
177,P60228,EIF3E,0.435698684,0.470000491,0.523551092,0.236842105263
178,P20701,ITGAL,0.311102287,0.058779769,0.260843352,0.236842105263
179,P05556,ITGB1,0.923379642,0.330011701,0.493079306,0.236842105263
180,P05107,ITGB2,0.430207391,0.264520478,0.855835901,0.236842105263
181,P05412,JUN,0.18481632,0.245917666,0.724406284,0.236842105263
182,Q15046,KARS,0.904880969,0.947676359,0.199110302,0.236842105263
183,Q14807,KIF22,0.979748378,0.032441995,0.157285874,0.236842105263
184,Q14974,KPNB1,0.438869973,0.906150634,0.37047552,0.236842105263
185,P52292,KPNA2,0.111119223,0.368497704,0.862272005,0.236842105263
186,O00410,IPO5,0.258064696,0.662540373,0.684762628,0.236842105263
187,P06239,LCK,0.408719846,0.95362463,0.634197879,0.236842105263
188,P20700,LMNB1,0.594896074,0.094128457,0.141323291,0.236842105263
189,P07948,LYN,0.262211748,0.685315622,0.079302245,0.236842105263
190,Q15796,SMAD2,0.602843089,0.412440482,0.876145348,0.236842105263
191,P84022,SMAD3,0.71121578,0.111788723,0.420428701,0.236842105263
192,P02686,MBP,0.221746734,0.491835063,0.487663607,0.236842105263
193,Q00987,MDM2,0.117417651,0.461552384,0.460325494,0.236842105263
194,Q9UBP6,METTL1,0.296675873,0.877058141,0.51567725,0.236842105263
195,P51948,MNAT1,0.318778302,0.660239177,0.27199439,0.236842105263
196,P26038,MSN,0.42416676,0.277964838,0.231579838,0.236842105263
197,P01106,MYC,0.507858285,0.657168216,0.899534077,0.236842105263
198,Q13469,NFATC2,0.085515797,0.64541495,0.908697327,0.236842105263
199,P19838,NFKB1,0.262482235,0.897223745,0.603642852,0.236842105263
200,Q00653,NFKB2,0.801014623,0.882336562,0.365236483,0.236842105263
201,P25963,NFKBIA,0.029220278,0.335172426,0.598590501,0.236842105263
202,P06748,NPM1,0.928854139,0.427001928,0.668487146,0.236842105263
203,P67809,YBX1,0.730330863,0.803764989,0.894564091,0.236842105263
204,P52948,NUP98,0.488608974,0.923094205,0.087335524,0.236842105263
205,P00973,OAS1,0.578525061,0.86672384,0.539010349,0.236842105263
206,Q15366,PCBP2,0.23728358,0.499650273,0.428449936,0.236842105263
207,O95365,ZBTB7A,0.458848828,0.584483045,0.617153494,0.236842105263
208,Q9NY65,TUBA8,0.963088539,0.924757001,0.558875877,0.236842105263
209,P29590,PML,0.546805719,0.166116898,0.225850688,0.236842105263
210,P06746,POLB,0.521135831,0.374360138,0.10451953,0.236842105263
211,Q07864,POLE,0.231594387,0.259408031,0.009977656,0.236842105263
212,P24928,POLR2A,0.488897744,0.830480917,0.059153304,0.236842105263
213,P30876,POLR2B,0.624060088,0.070176687,0.322652371,0.236842105263
214,P19387,POLR2C,0.679135541,0.281030277,0.779476507,0.236842105263
215,O15514,POLR2D,0.395515216,0.555044838,0.335478586,0.236842105263
216,P61218,POLR2F,0.367436649,0.618966881,0.619568613,0.236842105263
217,P62487,POLR2G,0.987982003,0.409787087,0.992885717,0.236842105263
218,P52434,POLR2H,0.037738866,0.258428445,0.648005695,0.236842105263
219,P36954,POLR2I,0.885168008,0.41674616,0.53977582,0.236842105263
220,P52435,POLR2J,0.913286828,0.382055539,0.232254753,0.236842105263
221,P53803,POLR2K,0.796183874,0.096334133,0.739832227,0.236842105263
222,P62875,POLR2L,0.098712279,0.131284219,0.888992345,0.236842105263
223,Q9NWF9,RNF216,0.261871184,0.60989827,0.859807626,0.236842105263
224,P23284,PPIB,0.33535684,0.656193732,0.597060789,0.236842105263
225,P62136,PPP1CA,0.679727951,0.840995313,0.654752143,0.236842105263
226,P36873,PPP1CC,0.136553137,0.499817878,0.915013994,0.236842105263
227,P67775,PPP2CA,0.721227499,0.307198082,0.433183081,0.236842105263
228,P63151,PPP2R2A,0.106761862,0.169763922,0.289760756,0.236842105263
229,Q15257,PTPA,0.653757349,0.048765393,0.631882301,0.236842105263
230,Q16537,PPP2R5E,0.494173937,0.225817131,0.295421839,0.236842105263
231,Q08209,PPP3CA,0.779051723,0.366971085,0.62202879,0.236842105263
232,Q9P0M6,H2AFY2,0.715037078,0.567846385,0.047534194,0.236842105263
233,P17612,PRKACA,0.903720561,0.569715407,0.994609895,0.236842105263
234,P54619,PRKAG1,0.890922504,0.778776478,0.206764149,0.236842105263
235,P78527,PRKDC,0.334163053,0.590241549,0.607363956,0.236842105263
236,P27361,MAPK3,0.698745832,0.110663463,0.347630326,0.236842105263
237,P25786,PSMA1,0.197809827,0.640677943,0.717737068,0.236842105263
238,P25788,PSMA3,0.030540946,0.072019326,0.027993295,0.236842105263
239,P25789,PSMA4,0.74407426,0.365845797,0.066841761,0.236842105263
240,P60900,PSMA6,0.500022436,0.287303065,0.927064141,0.236842105263
241,O14818,PSMA7,0.479922141,0.741438101,0.087771761,0.236842105263
242,P20618,PSMB1,0.904722238,0.066987431,0.332398562,0.236842105263
243,P49721,PSMB2,0.609866648,0.757165955,0.526180895,0.236842105263
244,P49720,PSMB3,0.61766639,0.240713034,0.246642124,0.236842105263
245,P28070,PSMB4,0.859442306,0.230909836,0.542899457,0.236842105263
246,P28074,PSMB5,0.805489425,0.011988382,0.780867851,0.236842105263
247,P28072,PSMB6,0.576721516,0.132474626,0.521882381,0.236842105263
248,Q99436,PSMB7,0.182922469,0.209386548,0.931949934,0.236842105263
249,P28062,PSMB8,0.239932011,0.214182716,0.14711198,0.236842105263
250,P28065,PSMB9,0.886511933,0.90579437,0.416765702,0.236842105263
251,P40306,PSMB10,0.028674152,0.277772501,0.280292867,0.236842105263
252,P62191,PSMC1,0.489901389,0.097101989,0.598100317,0.236842105263
253,P35998,PSMC2,0.167927146,0.782821527,0.036474857,0.236842105263
254,P43686,PSMC4,0.97868065,0.667520945,0.063686503,0.236842105263
255,P62195,PSMC5,0.712694472,0.612672549,0.322882505,0.236842105263
256,P62333,PSMC6,0.500471624,0.343792421,0.09837853,0.236842105263
257,Q13200,PSMD2,0.471088375,0.690338891,0.170044626,0.236842105263
258,O43242,PSMD3,0.059618868,0.23355897,0.371163799,0.236842105263
259,P55036,PSMD4,0.681971904,0.308029427,0.039761623,0.236842105263
260,Q16401,PSMD5,0.042431138,0.357300705,0.709240954,0.236842105263
261,P51665,PSMD7,0.071445465,0.216697932,0.64134136,0.236842105263
262,O00231,PSMD11,0.521649842,0.677280004,0.17406086,0.236842105263
263,O00232,PSMD12,0.096730026,0.736014714,0.062151943,0.236842105263
264,Q92934,BAD,0.818148554,0.010018571,0.40665942,0.236842105263
265,P26599,PTBP1,0.817547092,0.355914314,0.463062926,0.236842105263
266,Q96L91,EP400,0.722439592,0.239954583,0.202674299,0.236842105263
267,P54725,RAD23A,0.149865442,0.927608731,0.86954989,0.236842105263
268,P62736,ACTA2,0.659605253,0.762986816,0.597940369,0.236842105263
269,P62826,RAN,0.518594943,0.379387103,0.023013537,0.236842105263
270,P43487,RANBP1,0.972974555,0.685956276,0.899426437,0.236842105263
271,Q08999,RBL2,0.648991493,0.698872673,0.452946116,0.236842105263
272,P10415,BCL2,0.800330575,0.590398235,0.058026176,0.236842105263
273,Q04206,RELA,0.453797709,0.962055535,0.106269377,0.236842105263
274,P35251,RFC1,0.432391504,0.781345653,0.998425292,0.236842105263
275,P35250,RFC2,0.825313795,0.538427479,0.866327404,0.236842105263
276,P40938,RFC3,0.083469815,0.094138251,0.615205797,0.236842105263
277,P61221,ABCE1,0.133171008,0.886008685,0.026944484,0.236842105263
278,P27694,RPA1,0.173388613,0.257495133,0.322522636,0.236842105263
279,P39023,RPL3,0.390937802,0.463506866,0.463776234,0.236842105263
280,P21673,SAT1,0.831379743,0.33079827,0.099017233,0.236842105263
281,Q07955,SRSF1,0.803364392,0.756773388,0.570988144,0.236842105263
282,O43765,SGTA,0.060471179,0.802849335,0.325875094,0.236842105263
283,Q9C0K0,BCL11B,0.399257771,0.803117691,0.450492337,0.236842105263
284,P51532,SMARCA4,0.526875831,0.87663686,0.577843795,0.236842105263
285,Q92922,SMARCC1,0.416799468,0.087474068,0.074844308,0.236842105263
286,Q969G3,SMARCE1,0.656859891,0.667913625,0.057342669,0.236842105263
287,P08579,SNRPB2,0.627973359,0.502421973,0.300956435,0.236842105263
288,P62316,SNRPD2,0.29198408,0.335562041,0.521721249,0.236842105263
289,P12931,SRC,0.43165117,0.588561469,0.561880235,0.236842105263
290,P05455,SSB,0.015487126,0.351932587,0.24155477,0.236842105263
291,P63272,SUPT4H1,0.984063724,0.206717653,0.912720163,0.236842105263
292,O00267,SUPT5H,0.16716841,0.262154546,0.82573427,0.236842105263
293,Q15369,ELOC,0.106216345,0.098649303,0.444545884,0.236842105263
294,Q15370,ELOB,0.37240974,0.15006319,0.982062563,0.236842105263
295,P10827,THRA,0.198118403,0.321019344,0.578267561,0.236842105263
296,Q07021,C1QBP,0.489687638,0.594389455,0.234423496,0.236842105263
297,P63261,ACTG1,0.339493413,0.153738062,0.810590442,0.236842105263
298,P19438,TNFRSF1A,0.951630465,0.062625599,0.451274165,0.236842105263
299,Q99816,TSG101,0.92033204,0.00778223,0.249969169,0.236842105263
300,P68366,TUBA4A,0.052676998,0.774260128,0.955437532,0.236842105263
301,Q13748,TUBA3C,0.737858096,0.682045019,0.142650347,0.236842105263
302,Q13748,TUBA3D,0.269119426,0.120503155,0.512563385,0.236842105263
303,Q13885,TUBB2A,0.422835615,0.719253399,0.971925138,0.236842105263
304,P0CG47,UBB,0.547870901,0.161854104,0.648320621,0.236842105263
305,P0CG48,UBC,0.942736984,0.12016015,0.614671003,0.236842105263
306,P22314,UBA1,0.417744104,0.681152106,0.469650372,0.236842105263
307,P51668,UBE2D1,0.983052466,0.144826656,0.577780698,0.236842105263
308,P63165,SUMO1,0.301454949,0.057827752,0.911313227,0.236842105263
309,P13051,UNG,0.701098756,0.134942003,0.376220283,0.236842105263
310,P21796,VDAC1,0.666338852,0.014780439,0.228764773,0.236842105263
311,P08670,VIM,0.539126465,0.189117151,0.423524871,0.236842105263
312,P13010,XRCC5,0.69810552,0.070862118,0.273596221,0.236842105263
313,P31946,YWHAB,0.666527913,0.037859751,0.444565844,0.236842105263
314,P62258,YWHAE,0.178132454,0.307870208,0.627515047,0.236842105263
315,P61981,YWHAG,0.1280144,0.515735546,0.534641254,0.236842105263
316,Q04917,YWHAH,0.999080395,0.39351074,0.38544216,0.236842105263
317,P63104,YWHAZ,0.171121066,0.995195514,0.873450099,0.236842105263
318,Q71U36,TUBA1A,0.032600821,0.439599979,0.300348735,0.236842105263
319,P61073,CXCR4,0.561199793,0.151439647,0.400029716,0.236842105263
320,P35658,NUP214,0.8818665,0.778050529,0.517723514,0.236842105263
321,Q93034,CUL5,0.669175305,0.741173464,0.061824714,0.236842105263
322,P27797,CALR,0.190433267,0.087643722,0.231367221,0.236842105263
323,Q92804,TAF15,0.368916546,0.470425708,0.118485992,0.236842105263
324,P27824,CANX,0.460725937,0.29282961,0.098780036,0.236842105263
325,Q16695,HIST3H3,0.981637951,0.406850582,0.890275456,0.236842105263
326,Q99878,HIST1H2AJ,0.156404952,0.430237248,0.033389077,0.236842105263
327,Q93077,HIST1H2AC,0.855522806,0.87126214,0.839034992,0.236842105263
328,P04908,HIST1H2AB,0.644764537,0.707250137,0.507266725,0.236842105263
329,P04908,HIST1H2AE,0.37627221,0.014297331,0.113716441,0.236842105263
330,Q6FI13,HIST2H2AA3,0.190923695,0.024583708,0.490445657,0.236842105263
331,Q6FI13,HIST2H2AA4,0.428252993,0.236994247,0.59944172,0.236842105263
332,Q16777,HIST2H2AC,0.482022061,0.598265436,0.090216133,0.236842105263
333,Q99880,HIST1H2BL,0.120611613,0.926198153,0.978224034,0.236842105263
334,Q99877,HIST1H2BN,0.589507485,0.334413489,0.653018773,0.236842105263
335,Q99879,HIST1H2BM,0.22618768,0.443032939,0.461132127,0.236842105263
336,Q93079,HIST1H2BH,0.384619124,0.099138057,0.86375811,0.236842105263
337,P23527,HIST1H2BO,0.582986383,0.715151205,0.262829072,0.236842105263
338,Q16778,HIST2H2BE,0.251806122,0.721638407,0.823962943,0.236842105263
339,P68431,HIST1H3A,0.290440664,0.782470953,0.328975305,0.236842105263
340,P68431,HIST1H3B,0.617090884,0.942045101,0.941300531,0.236842105263
341,P68431,HIST1H3C,0.26528091,0.047568477,0.244108071,0.236842105263
342,P68431,HIST1H3D,0.824376267,0.800350388,0.957110165,0.236842105263
343,P68431,HIST1H3E,0.9826634,0.466788405,0.510824965,0.236842105263
344,P68431,HIST1H3F,0.730248792,0.27913985,0.564579859,0.236842105263
345,P68431,HIST1H3G,0.343877004,0.044721082,0.993716132,0.236842105263
346,P68431,HIST1H3H,0.584069333,0.787550969,0.77098394,0.236842105263
347,P68431,HIST1H3I,0.107769015,0.899123861,0.313801921,0.236842105263
348,P68431,HIST1H3J,0.906308151,0.7756839,0.057872625,0.236842105263
349,Q99525,HIST1H4G,0.879653724,0.837450236,0.044073792,0.236842105263
350,Q14790,CASP8,0.817760559,0.344420706,0.81294397,0.236842105263
351,Q9BQE3,TUBA1C,0.260727999,0.191192604,0.412073278,0.236842105263
352,Q9Y6K9,IKBKG,0.594356251,0.378438924,0.384163169,0.236842105263
353,Q96KK5,HIST1H2AH,0.022512593,0.256333842,0.523126532,0.236842105263
354,O60814,HIST1H2BK,0.42525932,0.02146324,0.892148967,0.236842105263
355,P63167,DYNLL1,0.312718887,0.293278785,0.405920641,0.236842105263
356,Q13546,RIPK1,0.161484744,0.240422778,0.604388896,0.236842105263
357,Q92831,KAT2B,0.178766187,0.202589009,0.094803556,0.236842105263
358,P20042,EIF2S2,0.422885689,0.348220781,0.335981278,0.236842105263
359,P14635,CCNB1,0.094229339,0.537149597,0.144841838,0.236842105263
360,P24863,CCNC,0.598523669,0.124314273,0.24488053,0.236842105263
361,Q9UBB5,MBD2,0.470924256,0.19273831,0.378971658,0.236842105263
362,Q9Y297,BTRC,0.695949313,0.488619539,0.270319612,0.236842105263
363,P06899,HIST1H2BJ,0.69988785,0.407010404,0.2155993,0.236842105263
364,P51946,CCNH,0.638530758,0.734918844,0.633731111,0.236842105263
365,O60563,CCNT1,0.033603836,0.299904919,0.79971557,0.236842105263
366,O14981,BTAF1,0.068806099,0.807136141,0.208514027,0.236842105263
367,O75928,PIAS2,0.319599735,0.913664517,0.896256192,0.236842105263
